symb,xymd,open,high,low,clos,diff,rate,gvol
SPI@SPX,20230426,4087.78,4089.67,4049.35,4055.99,-15.64,-0.38,2698867820
SPI@SPX,20230425,4126.43,4126.43,4071.38,4071.63,-65.41,-1.58,2559843600
SPI@SPX,20230424,4132.07,4142.41,4117.77,4137.04,3.52,0.09,2113777660
SPI@SPX,20230421,4132.14,4138.02,4113.86,4133.52,3.73,0.09,2304130060
SPI@SPX,20230420,4130.48,4148.57,4114.57,4129.79,-24.73,-0.6,2453132510
SPI@SPX,20230419,4139.33,4162.57,4134.49,4154.52,-0.35,-0.01,2158289230
SPI@SPX,20230418,4164.26,4169.48,4140.36,4154.87,3.55,0.09,2124684260
SPI@SPX,20230417,4137.17,4151.72,4123.18,4151.32,13.68,0.33,2132427050
SPI@SPX,20230414,4140.11,4163.19,4113.2,4137.64,-8.58,-0.21,2077040800
SPI@SPX,20230413,4100.04,4150.26,4099.4,4146.22,54.27,1.33,2196995300
SPI@SPX,20230412,4121.72,4134.37,4086.94,4091.95,-16.99,-0.41,2242917710
SPI@SPX,20230411,4110.29,4124.26,4102.61,4108.94,-0.17,0.0,1989408800
SPI@SPX,20230410,4085.2,4109.5,4072.55,4109.11,4.09,0.1,1948962420
SPI@SPX,20230406,4081.15,4107.32,4069.84,4105.02,14.64,0.36,2072470320
SPI@SPX,20230405,4094.5,4099.69,4072.56,4090.38,-10.22,-0.25,2325149810
SPI@SPX,20230404,4128.03,4133.13,4086.87,4100.6,-23.91,-0.58,2264264200
SPI@SPX,20230403,4102.2,4127.66,4098.79,4124.51,15.2,0.37,2425239190
SPI@SPX,20230331,4056.18,4110.75,4056.18,4109.31,58.48,1.44,2516723260
SPI@SPX,20230330,4046.74,4057.85,4032.1,4050.83,23.02,0.57,2133759610
SPI@SPX,20230329,3999.53,4030.59,3999.53,4027.81,56.54,1.42,2265595660
SPI@SPX,20230328,3974.13,3979.2,3951.53,3971.27,-6.26,-0.16,1986603710
SPI@SPX,20230327,3982.93,4003.83,3970.49,3977.53,6.54,0.16,2461561560
SPI@SPX,20230324,3939.21,3972.74,3909.16,3970.99,22.27,0.56,2584795160
SPI@SPX,20230323,3959.21,4007.66,3919.05,3948.72,11.75,0.3,2797479140
SPI@SPX,20230322,4002.04,4039.49,3936.17,3936.97,-65.9,-1.65,2694608430
SPI@SPX,20230321,3975.89,4009.08,3971.19,4002.87,51.3,1.3,2947355540
SPI@SPX,20230320,3917.47,3956.62,3916.89,3951.57,34.93,0.89,2917994860
SPI@SPX,20230317,3958.69,3958.91,3901.27,3916.64,-43.64,-1.1,5761269540
SPI@SPX,20230316,3878.93,3964.46,3864.11,3960.28,68.35,1.76,3623445070
SPI@SPX,20230315,3876.74,3894.26,3838.24,3891.93,-27.36,-0.7,3703901270
SPI@SPX,20230314,3894.01,3937.29,3873.63,3919.29,63.53,1.65,3434915180
SPI@SPX,20230313,3835.12,3905.05,3808.86,3855.76,-5.83,-0.15,4001022050
SPI@SPX,20230310,3912.77,3934.05,3846.32,3861.59,-56.73,-1.45,3238481770
SPI@SPX,20230309,3998.66,4017.81,3908.7,3918.32,-73.69,-1.85,2604828560
SPI@SPX,20230308,3987.55,4000.41,3969.76,3992.01,5.64,0.14,2036782970
SPI@SPX,20230307,4048.26,4050.0,3980.31,3986.37,-62.05,-1.53,2261990430
SPI@SPX,20230306,4055.15,4078.49,4044.61,4048.42,2.78,0.07,2183396550
SPI@SPX,20230303,3998.02,4048.29,3995.17,4045.64,64.29,1.61,2228260880
SPI@SPX,20230302,3938.68,3990.84,3928.16,3981.35,29.96,0.76,2252262370
